Year,Компоненти індексу,Область,Вік,Стать,Value
2019,Зниження негативних трендів міграції,Луганська,61 рік і старші,,
2020,Зниження негативних трендів міграції,Луганська,61 рік і старші,,
2021,Зниження негативних трендів міграції,Луганська,60 років і старші,,
2022,Зниження негативних трендів міграції,Луганська,60 років і старші,,
2023,Зниження негативних трендів міграції,Луганська,60 років і старші,,
2017,Зниження негативних трендів міграції,Луганська,,чоловіки,4.4
2018,Зниження негативних трендів міграції,Луганська,,чоловіки,5.3
2019,Зниження негативних трендів міграції,Луганська,,чоловіки,
2020,Зниження негативних трендів міграції,Луганська,,чоловіки,
2021,Зниження негативних трендів міграції,Луганська,,чоловіки,
2022,Зниження негативних трендів міграції,Луганська,,чоловіки,
2023,Зниження негативних трендів міграції,Луганська,,чоловіки,
2017,Зниження негативних трендів міграції,Луганська,,жінки,4.4
2018,Зниження негативних трендів міграції,Луганська,,жінки,5.3
2019,Зниження негативних трендів міграції,Луганська,,жінки,
2020,Зниження негативних трендів міграції,Луганська,,жінки,
2021,Зниження негативних трендів міграції,Луганська,,жінки,
2022,Зниження негативних трендів міграції,Луганська,,жінки,
2023,Зниження негативних трендів міграції,Луганська,,жінки,
2017,Зниження негативних трендів міграції,Дніпропетровська,,,
2018,Зниження негативних трендів міграції,Дніпропетровська,,,
2019,Зниження негативних трендів міграції,Дніпропетровська,,,
2020,Зниження негативних трендів міграції,Дніпропетровська,,,
2021,Зниження негативних трендів міграції,Дніпропетровська,,,
2022,Зниження негативних трендів міграції,Дніпропетровська,,,
2023,Зниження негативних трендів міграції,Дніпропетровська,,,
2017,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,5.0
2018,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,5.7
2019,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2020,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2021,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2022,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2023,Зниження негативних трендів міграції,Дніпропетровська,18 – 35 років,,
2017,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,4.0
2018,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,4.6
2019,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,
2020,Зниження негативних трендів міграції,Дніпропетровська,36 – 60 років,,
2021,Зниження негативних трендів міграції,Дніпропетровська,36 - 59 років,,
2022,Зниження негативних трендів міграції,Дніпропетровська,36 - 59 років,,
2023,Зниження негативних трендів міграції,Дніпропетровська,36 - 59 років,,
2017,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,3.2
2018,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,3.5
2019,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,
2020,Зниження негативних трендів міграції,Дніпропетровська,61 рік і старші,,
2021,Зниження негативних трендів міграції,Дніпропетровська,60 років і старші,,
2022,Зниження негативних трендів міграції,Дніпропетровська,60 років і старші,,
2023,Зниження негативних трендів міграції,Дніпропетровська,60 років і старші,,
2017,Зниження негативних трендів міграції,Дніпропетровська,,чоловіки,4.3
2018,Зниження негативних трендів міграції,Дніпропетровська,,чоловіки,4.8
2019,Зниження негативних трендів міграції,Дніпропетровська,,чоловіки,
2020,Зниження негативних трендів міграції,Дніпропетровська,,чоловіки,
2021,Зниження негативних трендів міграції,Дніпропетровська,,чоловіки,
2022,Зниження негативних трендів міграції,Дніпропетровська,,чоловіки,
2023,Зниження негативних трендів міграції,Дніпропетровська,,чоловіки,
2017,Зниження негативних трендів міграції,Дніпропетровська,,жінки,3.9
2018,Зниження негативних трендів міграції,Дніпропетровська,,жінки,4.6
2019,Зниження негативних трендів міграції,Дніпропетровська,,жінки,
2020,Зниження негативних трендів міграції,Дніпропетровська,,жінки,
2021,Зниження негативних трендів міграції,Дніпропетровська,,жінки,
2022,Зниження негативних трендів міграції,Дніпропетровська,,жінки,
2023,Зниження негативних трендів міграції,Дніпропетровська,,жінки,
2017,Зниження негативних трендів міграції,Запорізька,,,
2018,Зниження негативних трендів міграції,Запорізька,,,
2019,Зниження негативних трендів міграції,Запорізька,,,
2020,Зниження негативних трендів міграції,Запорізька,,,
2021,Зниження негативних трендів міграції,Запорізька,,,
2022,Зниження негативних трендів міграції,Запорізька,,,
2023,Зниження негативних трендів міграції,Запорізька,,,
2017,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,5.4
2018,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,5.4
2019,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2020,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2021,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2022,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2023,Зниження негативних трендів міграції,Запорізька,18 – 35 років,,
2017,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,4.1
2018,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,4.4
2019,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,
2020,Зниження негативних трендів міграції,Запорізька,36 – 60 років,,
2021,Зниження негативних трендів міграції,Запорізька,36 - 59 років,,
2022,Зниження негативних трендів міграції,Запорізька,36 - 59 років,,
2023,Зниження негативних трендів міграції,Запорізька,36 - 59 років,,
2017,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,3.0
2018,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,3.4
2019,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,
2020,Зниження негативних трендів міграції,Запорізька,61 рік і старші,,
2021,Зниження негативних трендів міграції,Запорізька,60 років і старші,,
2022,Зниження негативних трендів міграції,Запорізька,60 років і старші,,
2023,Зниження негативних трендів міграції,Запорізька,60 років і старші,,
2017,Зниження негативних трендів міграції,Запорізька,,чоловіки,4.2
2018,Зниження негативних трендів міграції,Запорізька,,чоловіки,4.6
2019,Зниження негативних трендів міграції,Запорізька,,чоловіки,
2020,Зниження негативних трендів міграції,Запорізька,,чоловіки,
2021,Зниження негативних трендів міграції,Запорізька,,чоловіки,
2022,Зниження негативних трендів міграції,Запорізька,,чоловіки,
2023,Зниження негативних трендів міграції,Запорізька,,чоловіки,
2017,Зниження негативних трендів міграції,Запорізька,,жінки,4.2
2018,Зниження негативних трендів міграції,Запорізька,,жінки,4.4
2019,Зниження негативних трендів міграції,Запорізька,,жінки,
2020,Зниження негативних трендів міграції,Запорізька,,жінки,
2021,Зниження негативних трендів міграції,Запорізька,,жінки,
2022,Зниження негативних трендів міграції,Запорізька,,жінки,
2023,Зниження негативних трендів міграції,Запорізька,,жінки,
2017,Зниження негативних трендів міграції,Харківська,,,
2018,Зниження негативних трендів міграції,Харківська,,,
2019,Зниження негативних трендів міграції,Харківська,,,
2020,Зниження негативних трендів міграції,Харківська,,,
2021,Зниження негативних трендів міграції,Харківська,,,
2022,Зниження негативних трендів міграції,Харківська,,,
2023,Зниження негативних трендів міграції,Харківська,,,
2017,Зниження негативних трендів міграції,Харківська,18 – 35 років,,5.0
2018,Зниження негативних трендів міграції,Харківська,18 – 35 років,,5.7
2019,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2020,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2021,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2022,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2023,Зниження негативних трендів міграції,Харківська,18 – 35 років,,
2017,Зниження негативних трендів міграції,Харківська,36 – 60 років,,4.1
2018,Зниження негативних трендів міграції,Харківська,36 – 60 років,,4.7
2019,Зниження негативних трендів міграції,Харківська,36 – 60 років,,
2020,Зниження негативних трендів міграції,Харківська,36 – 60 років,,
2021,Зниження негативних трендів міграції,Харківська,36 - 59 років,,
2022,Зниження негативних трендів міграції,Харківська,36 - 59 років,,
2023,Зниження негативних трендів міграції,Харківська,36 - 59 років,,
2017,Зниження негативних трендів міграції,Харківська,61 рік і старші,,3.2
2018,Зниження негативних трендів міграції,Харківська,61 рік і старші,,4.2
2019,Зниження негативних трендів міграції,Харківська,61 рік і старші,,
2020,Зниження негативних трендів міграції,Харківська,61 рік і старші,,
2021,Зниження негативних трендів міграції,Харківська,60 років і старші,,
2022,Зниження негативних трендів міграції,Харківська,60 років і старші,,
2023,Зниження негативних трендів міграції,Харківська,60 років і старші,,
2017,Зниження негативних трендів міграції,Харківська,,чоловіки,4.3
2018,Зниження негативних трендів міграції,Харківська,,чоловіки,5.1
2019,Зниження негативних трендів міграції,Харківська,,чоловіки,
2020,Зниження негативних трендів міграції,Харківська,,чоловіки,
2021,Зниження негативних трендів міграції,Харківська,,чоловіки,
2022,Зниження негативних трендів міграції,Харківська,,чоловіки,
2023,Зниження негативних трендів міграції,Харківська,,чоловіки,
2017,Зниження негативних трендів міграції,Харківська,,жінки,4.1
2018,Зниження негативних трендів міграції,Харківська,,жінки,4.7
2019,Зниження негативних трендів міграції,Харківська,,жінки,
2020,Зниження негативних трендів міграції,Харківська,,жінки,
2021,Зниження негативних трендів міграції,Харківська,,жінки,
2022,Зниження негативних трендів міграції,Харківська,,жінки,
2023,Зниження негативних трендів міграції,Харківська,,жінки,
2017,Готовність до діалогу,Донецька,,,
2018,Готовність до діалогу,Донецька,,,
2019,Готовність до діалогу,Донецька,,,
2020,Готовність до діалогу,Донецька,,,
2021,Готовність до діалогу,Донецька,,,
2022,Готовність до діалогу,Донецька,,,
2023,Готовність до діалогу,Донецька,,,
2017,Готовність до діалогу,Донецька,18 – 35 років,,
2018,Готовність до діалогу,Донецька,18 – 35 років,,6.6
2019,Готовність до діалогу,Донецька,18 – 35 років,,
2020,Готовність до діалогу,Донецька,18 – 35 років,,
2021,Готовність до діалогу,Донецька,18 – 35 років,,
2022,Готовність до діалогу,Донецька,18 – 35 років,,
2023,Готовність до діалогу,Донецька,18 – 35 років,,
2017,Готовність до діалогу,Донецька,36 – 60 років,,
2018,Готовність до діалогу,Донецька,36 – 60 років,,6.7
2019,Готовність до діалогу,Донецька,36 – 60 років,,
2020,Готовність до діалогу,Донецька,36 – 60 років,,
2021,Готовність до діалогу,Донецька,36 - 59 років,,
2022,Готовність до діалогу,Донецька,36 - 59 років,,
2023,Готовність до діалогу,Донецька,36 - 59 років,,
2017,Готовність до діалогу,Донецька,61 рік і старші,,
2018,Готовність до діалогу,Донецька,61 рік і старші,,6.8
2019,Готовність до діалогу,Донецька,61 рік і старші,,
2020,Готовність до діалогу,Донецька,61 рік і старші,,
2021,Готовність до діалогу,Донецька,60 років і старші,,
2022,Готовність до діалогу,Донецька,60 років і старші,,
2023,Готовність до діалогу,Донецька,60 років і старші,,
2017,Готовність до діалогу,Донецька,,чоловіки,
2018,Готовність до діалогу,Донецька,,чоловіки,6.6
2019,Готовність до діалогу,Донецька,,чоловіки,
2020,Готовність до діалогу,Донецька,,чоловіки,
2021,Готовність до діалогу,Донецька,,чоловіки,
2022,Готовність до діалогу,Донецька,,чоловіки,
2023,Готовність до діалогу,Донецька,,чоловіки,
2017,Готовність до діалогу,Донецька,,жінки,
2018,Готовність до діалогу,Донецька,,жінки,6.8
2019,Готовність до діалогу,Донецька,,жінки,
2020,Готовність до діалогу,Донецька,,жінки,
2021,Готовність до діалогу,Донецька,,жінки,
2022,Готовність до діалогу,Донецька,,жінки,
2023,Готовність до діалогу,Донецька,,жінки,
2017,Готовність до діалогу,Луганська,,,
2018,Готовність до діалогу,Луганська,,,
2019,Готовність до діалогу,Луганська,,,
2020,Готовність до діалогу,Луганська,,,
2021,Готовність до діалогу,Луганська,,,
2022,Готовність до діалогу,Луганська,,,
2023,Готовність до діалогу,Луганська,,,
2017,Готовність до діалогу,Луганська,18 – 35 років,,
2018,Готовність до діалогу,Луганська,18 – 35 років,,6.0
2019,Готовність до діалогу,Луганська,18 – 35 років,,
2020,Готовність до діалогу,Луганська,18 – 35 років,,
2021,Готовність до діалогу,Луганська,18 – 35 років,,
2022,Готовність до діалогу,Луганська,18 – 35 років,,
2023,Готовність до діалогу,Луганська,18 – 35 років,,
2017,Готовність до діалогу,Луганська,36 – 60 років,,
2018,Готовність до діалогу,Луганська,36 – 60 років,,6.3
2019,Готовність до діалогу,Луганська,36 – 60 років,,
2020,Готовність до діалогу,Луганська,36 – 60 років,,
2021,Готовність до діалогу,Луганська,36 - 59 років,,
2022,Готовність до діалогу,Луганська,36 - 59 років,,
2023,Готовність до діалогу,Луганська,36 - 59 років,,
2017,Готовність до діалогу,Луганська,61 рік і старші,,
2018,Готовність до діалогу,Луганська,61 рік і старші,,6.0
2019,Готовність до діалогу,Луганська,61 рік і старші,,
2020,Готовність до діалогу,Луганська,61 рік і старші,,
2021,Готовність до діалогу,Луганська,60 років і старші,,
2022,Готовність до діалогу,Луганська,60 років і старші,,
2023,Готовність до діалогу,Луганська,60 років і старші,,
2017,Готовність до діалогу,Луганська,,чоловіки,
2018,Готовність до діалогу,Луганська,,чоловіки,6.2
2019,Готовність до діалогу,Луганська,,чоловіки,
2020,Готовність до діалогу,Луганська,,чоловіки,
2021,Готовність до діалогу,Луганська,,чоловіки,
2022,Готовність до діалогу,Луганська,,чоловіки,
2023,Готовність до діалогу,Луганська,,чоловіки,
2017,Готовність до діалогу,Луганська,,жінки,
2018,Готовність до діалогу,Луганська,,жінки,6.1
2019,Готовність до діалогу,Луганська,,жінки,
2020,Готовність до діалогу,Луганська,,жінки,
2021,Готовність до діалогу,Луганська,,жінки,
2022,Готовність до діалогу,Луганська,,жінки,
2023,Готовність до діалогу,Луганська,,жінки,
2017,Готовність до діалогу,Дніпропетровська,,,
2018,Готовність до діалогу,Дніпропетровська,,,
2019,Готовність до діалогу,Дніпропетровська,,,
2020,Готовність до діалогу,Дніпропетровська,,,
2021,Готовність до діалогу,Дніпропетровська,,,
2022,Готовність до діалогу,Дніпропетровська,,,
2023,Готовність до діалогу,Дніпропетровська,,,
2017,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2018,Готовність до діалогу,Дніпропетровська,18 – 35 років,,5.9
2019,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2020,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2021,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2022,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2023,Готовність до діалогу,Дніпропетровська,18 – 35 років,,
2017,Готовність до діалогу,Дніпропетровська,36 – 60 років,,
2018,Готовність до діалогу,Дніпропетровська,36 – 60 років,,5.9
2019,Готовність до діалогу,Дніпропетровська,36 – 60 років,,
2020,Готовність до діалогу,Дніпропетровська,36 – 60 років,,
2021,Готовність до діалогу,Дніпропетровська,36 - 59 років,,
2022,Готовність до діалогу,Дніпропетровська,36 - 59 років,,
2023,Готовність до діалогу,Дніпропетровська,36 - 59 років,,
2017,Готовність до діалогу,Дніпропетровська,61 рік і старші,,
2018,Готовність до діалогу,Дніпропетровська,61 рік і старші,,5.6
2019,Готовність до діалогу,Дніпропетровська,61 рік і старші,,
2020,Готовність до діалогу,Дніпропетровська,61 рік і старші,,
2021,Готовність до діалогу,Дніпропетровська,60 років і старші,,
2022,Готовність до діалогу,Дніпропетровська,60 років і старші,,
2023,Готовність до діалогу,Дніпропетровська,60 років і старші,,
2017,Готовність до діалогу,Дніпропетровська,,чоловіки,
2018,Готовність до діалогу,Дніпропетровська,,чоловіки,6.0
2019,Готовність до діалогу,Дніпропетровська,,чоловіки,
2020,Готовність до діалогу,Дніпропетровська,,чоловіки,
2021,Готовність до діалогу,Дніпропетровська,,чоловіки,
2022,Готовність до діалогу,Дніпропетровська,,чоловіки,
2023,Готовність до діалогу,Дніпропетровська,,чоловіки,
2017,Готовність до діалогу,Дніпропетровська,,жінки,
2018,Готовність до діалогу,Дніпропетровська,,жінки,5.7
2019,Готовність до діалогу,Дніпропетровська,,жінки,
2020,Готовність до діалогу,Дніпропетровська,,жінки,
2021,Готовність до діалогу,Дніпропетровська,,жінки,
2022,Готовність до діалогу,Дніпропетровська,,жінки,
2023,Готовність до діалогу,Дніпропетровська,,жінки,
2017,Готовність до діалогу,Запорізька,,,
2018,Готовність до діалогу,Запорізька,,,
2019,Готовність до діалогу,Запорізька,,,
2020,Готовність до діалогу,Запорізька,,,
2021,Готовність до діалогу,Запорізька,,,
2022,Готовність до діалогу,Запорізька,,,
2023,Готовність до діалогу,Запорізька,,,
2017,Готовність до діалогу,Запорізька,18 – 35 років,,
2018,Готовність до діалогу,Запорізька,18 – 35 років,,5.8
2019,Готовність до діалогу,Запорізька,18 – 35 років,,
2020,Готовність до діалогу,Запорізька,18 – 35 років,,
2021,Готовність до діалогу,Запорізька,18 – 35 років,,
2022,Готовність до діалогу,Запорізька,18 – 35 років,,
2023,Готовність до діалогу,Запорізька,18 – 35 років,,
2017,Готовність до діалогу,Запорізька,36 – 60 років,,
2018,Готовність до діалогу,Запорізька,36 – 60 років,,6.5
2019,Готовність до діалогу,Запорізька,36 – 60 років,,
2020,Готовність до діалогу,Запорізька,36 – 60 років,,
2021,Готовність до діалогу,Запорізька,36 - 59 років,,
2022,Готовність до діалогу,Запорізька,36 - 59 років,,
2023,Готовність до діалогу,Запорізька,36 - 59 років,,
2017,Готовність до діалогу,Запорізька,61 рік і старші,,
2018,Готовність до діалогу,Запорізька,61 рік і старші,,6.2
2019,Готовність до діалогу,Запорізька,61 рік і старші,,
2020,Готовність до діалогу,Запорізька,61 рік і старші,,
2021,Готовність до діалогу,Запорізька,60 років і старші,,
2022,Готовність до діалогу,Запорізька,60 років і старші,,
2023,Готовність до діалогу,Запорізька,60 років і старші,,
2017,Готовність до діалогу,Запорізька,,чоловіки,
2018,Готовність до діалогу,Запорізька,,чоловіки,6.2
2019,Готовність до діалогу,Запорізька,,чоловіки,
2020,Готовність до діалогу,Запорізька,,чоловіки,
2021,Готовність до діалогу,Запорізька,,чоловіки,
2022,Готовність до діалогу,Запорізька,,чоловіки,
2023,Готовність до діалогу,Запорізька,,чоловіки,
2017,Готовність до діалогу,Запорізька,,жінки,
2018,Готовність до діалогу,Запорізька,,жінки,6.2
2019,Готовність до діалогу,Запорізька,,жінки,
2020,Готовність до діалогу,Запорізька,,жінки,
2021,Готовність до діалогу,Запорізька,,жінки,
2022,Готовність до діалогу,Запорізька,,жінки,
2023,Готовність до діалогу,Запорізька,,жінки,
2017,Готовність до діалогу,Харківська,,,
2018,Готовність до діалогу,Харківська,,,
2019,Готовність до діалогу,Харківська,,,
2020,Готовність до діалогу,Харківська,,,
2021,Готовність до діалогу,Харківська,,,
2022,Готовність до діалогу,Харківська,,,
2023,Готовність до діалогу,Харківська,,,
2017,Готовність до діалогу,Харківська,18 – 35 років,,
2018,Готовність до діалогу,Харківська,18 – 35 років,,6.2
2019,Готовність до діалогу,Харківська,18 – 35 років,,
2020,Готовність до діалогу,Харківська,18 – 35 років,,
2021,Готовність до діалогу,Харківська,18 – 35 років,,
2022,Готовність до діалогу,Харківська,18 – 35 років,,
2023,Готовність до діалогу,Харківська,18 – 35 років,,
2017,Готовність до діалогу,Харківська,36 – 60 років,,
2018,Готовність до діалогу,Харківська,36 – 60 років,,6.3
2019,Готовність до діалогу,Харківська,36 – 60 років,,
2020,Готовність до діалогу,Харківська,36 – 60 років,,
2021,Готовність до діалогу,Харківська,36 - 59 років,,
2022,Готовність до діалогу,Харківська,36 - 59 років,,
2023,Готовність до діалогу,Харківська,36 - 59 років,,
2017,Готовність до діалогу,Харківська,61 рік і старші,,
2018,Готовність до діалогу,Харківська,61 рік і старші,,6.6
2019,Готовність до діалогу,Харківська,61 рік і старші,,
2020,Готовність до діалогу,Харківська,61 рік і старші,,
2021,Готовність до діалогу,Харківська,60 років і старші,,
2022,Готовність до діалогу,Харківська,60 років і старші,,
2023,Готовність до діалогу,Харківська,60 років і старші,,
2017,Готовність до діалогу,Харківська,,чоловіки,
2018,Готовність до діалогу,Харківська,,чоловіки,6.8
2019,Готовність до діалогу,Харківська,,чоловіки,
2020,Готовність до діалогу,Харківська,,чоловіки,
2021,Готовність до діалогу,Харківська,,чоловіки,
2022,Готовність до діалогу,Харківська,,чоловіки,
2023,Готовність до діалогу,Харківська,,чоловіки,
2017,Готовність до діалогу,Харківська,,жінки,
2018,Готовність до діалогу,Харківська,,жінки,6.1
2019,Готовність до діалогу,Харківська,,жінки,
2020,Готовність до діалогу,Харківська,,жінки,
2021,Готовність до діалогу,Харківська,,жінки,
2022,Готовність до діалогу,Харківська,,жінки,
2023,Готовність до діалогу,Харківська,,жінки,
2017,Громадянська поведінка,Донецька,,,
2018,Громадянська поведінка,Донецька,,,
2019,Громадянська поведінка,Донецька,,,
2020,Громадянська поведінка,Донецька,,,
2021,Громадянська поведінка,Донецька,,,
2022,Громадянська поведінка,Донецька,,,
2023,Громадянська поведінка,Донецька,,,
2017,Громадянська поведінка,Донецька,18 – 35 років,,
2018,Громадянська поведінка,Донецька,18 – 35 років,,4.7
2019,Громадянська поведінка,Донецька,18 – 35 років,,6.6
2020,Громадянська поведінка,Донецька,18 – 35 років,,
2021,Громадянська поведінка,Донецька,18 – 35 років,,
2022,Громадянська поведінка,Донецька,18 – 35 років,,
2023,Громадянська поведінка,Донецька,18 – 35 років,,
2017,Громадянська поведінка,Донецька,36 – 60 років,,
2018,Громадянська поведінка,Донецька,36 – 60 років,,3.4
2019,Громадянська поведінка,Донецька,36 – 60 років,,6.5
2020,Громадянська поведінка,Донецька,36 – 60 років,,
2021,Громадянська поведінка,Донецька,36 - 59 років,,
2022,Громадянська поведінка,Донецька,36 - 59 років,,
2023,Громадянська поведінка,Донецька,36 - 59 років,,
2017,Громадянська поведінка,Донецька,61 рік і старші,,
2018,Громадянська поведінка,Донецька,61 рік і старші,,2.2
2019,Громадянська поведінка,Донецька,61 рік і старші,,6.3
2020,Громадянська поведінка,Донецька,61 рік і старші,,
2021,Громадянська поведінка,Донецька,60 років і старші,,
2022,Громадянська поведінка,Донецька,60 років і старші,,
2023,Громадянська поведінка,Донецька,60 років і старші,,
2017,Громадянська поведінка,Донецька,,чоловіки,
2018,Громадянська поведінка,Донецька,,чоловіки,3.8
2019,Громадянська поведінка,Донецька,,чоловіки,6.6
2020,Громадянська поведінка,Донецька,,чоловіки,
2021,Громадянська поведінка,Донецька,,чоловіки,
2022,Громадянська поведінка,Донецька,,чоловіки,
2023,Громадянська поведінка,Донецька,,чоловіки,
2017,Громадянська поведінка,Донецька,,жінки,
2018,Громадянська поведінка,Донецька,,жінки,3.2
2019,Громадянська поведінка,Донецька,,жінки,6.4
2020,Громадянська поведінка,Донецька,,жінки,
2021,Громадянська поведінка,Донецька,,жінки,
2022,Громадянська поведінка,Донецька,,жінки,
2023,Громадянська поведінка,Донецька,,жінки,
2017,Громадянська поведінка,Луганська,,,
2018,Громадянська поведінка,Луганська,,,
2019,Громадянська поведінка,Луганська,,,
2020,Громадянська поведінка,Луганська,,,
2021,Громадянська поведінка,Луганська,,,
2022,Громадянська поведінка,Луганська,,,
2023,Громадянська поведінка,Луганська,,,
2017,Громадянська поведінка,Луганська,18 – 35 років,,
2018,Громадянська поведінка,Луганська,18 – 35 років,,4.4
2019,Громадянська поведінка,Луганська,18 – 35 років,,7.0
2020,Громадянська поведінка,Луганська,18 – 35 років,,
2021,Громадянська поведінка,Луганська,18 – 35 років,,
2022,Громадянська поведінка,Луганська,18 – 35 років,,
2023,Громадянська поведінка,Луганська,18 – 35 років,,
2017,Громадянська поведінка,Луганська,36 – 60 років,,
2018,Громадянська поведінка,Луганська,36 – 60 років,,4.3
2019,Громадянська поведінка,Луганська,36 – 60 років,,6.2
2020,Громадянська поведінка,Луганська,36 – 60 років,,
2021,Громадянська поведінка,Луганська,36 - 59 років,,
2022,Громадянська поведінка,Луганська,36 - 59 років,,
2023,Громадянська поведінка,Луганська,36 - 59 років,,
2017,Громадянська поведінка,Луганська,61 рік і старші,,
2018,Громадянська поведінка,Луганська,61 рік і старші,,2.3
2019,Громадянська поведінка,Луганська,61 рік і старші,,5.8
2020,Громадянська поведінка,Луганська,61 рік і старші,,
2021,Громадянська поведінка,Луганська,60 років і старші,,
2022,Громадянська поведінка,Луганська,60 років і старші,,
2023,Громадянська поведінка,Луганська,60 років і старші,,
2017,Громадянська поведінка,Луганська,,чоловіки,
2018,Громадянська поведінка,Луганська,,чоловіки,4.2
2019,Громадянська поведінка,Луганська,,чоловіки,6.2
2020,Громадянська поведінка,Луганська,,чоловіки,
2021,Громадянська поведінка,Луганська,,чоловіки,
2022,Громадянська поведінка,Луганська,,чоловіки,
2023,Громадянська поведінка,Луганська,,чоловіки,
2017,Громадянська поведінка,Луганська,,жінки,
2018,Громадянська поведінка,Луганська,,жінки,3.5
2019,Громадянська поведінка,Луганська,,жінки,6.4
2020,Громадянська поведінка,Луганська,,жінки,
2021,Громадянська поведінка,Луганська,,жінки,
2022,Громадянська поведінка,Луганська,,жінки,
2023,Громадянська поведінка,Луганська,,жінки,
2017,Громадянська поведінка,Дніпропетровська,,,
2018,Громадянська поведінка,Дніпропетровська,,,
2019,Громадянська поведінка,Дніпропетровська,,,
2020,Громадянська поведінка,Дніпропетровська,,,
2021,Громадянська поведінка,Дніпропетровська,,,
2022,Громадянська поведінка,Дніпропетровська,,,
2023,Громадянська поведінка,Дніпропетровська,,,
2017,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2018,Громадянська поведінка,Дніпропетровська,18 – 35 років,,5.0
2019,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2020,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2021,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2022,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2023,Громадянська поведінка,Дніпропетровська,18 – 35 років,,
2017,Громадянська поведінка,Дніпропетровська,36 – 60 років,,
2018,Громадянська поведінка,Дніпропетровська,36 – 60 років,,4.7
2019,Громадянська поведінка,Дніпропетровська,36 – 60 років,,
2020,Громадянська поведінка,Дніпропетровська,36 – 60 років,,
2021,Громадянська поведінка,Дніпропетровська,36 - 59 років,,
2022,Громадянська поведінка,Дніпропетровська,36 - 59 років,,
2023,Громадянська поведінка,Дніпропетровська,36 - 59 років,,
2017,Громадянська поведінка,Дніпропетровська,61 рік і старші,,
2018,Громадянська поведінка,Дніпропетровська,61 рік і старші,,4.2
2019,Громадянська поведінка,Дніпропетровська,61 рік і старші,,
