Year,Сomponent of the index,Region,Age,Gender,Value
2022,reducing negative migration trends,Luhansk,,women,
2023,reducing negative migration trends,Luhansk,,women,
2017,reducing negative migration trends,Dnipropetrovsk,,,
2018,reducing negative migration trends,Dnipropetrovsk,,,
2019,reducing negative migration trends,Dnipropetrovsk,,,
2020,reducing negative migration trends,Dnipropetrovsk,,,
2021,reducing negative migration trends,Dnipropetrovsk,,,
2022,reducing negative migration trends,Dnipropetrovsk,,,
2023,reducing negative migration trends,Dnipropetrovsk,,,
2017,reducing negative migration trends,Dnipropetrovsk,18-35 years,,5.0
2018,reducing negative migration trends,Dnipropetrovsk,18-35 years,,5.7
2019,reducing negative migration trends,Dnipropetrovsk,18-35 years,,
2020,reducing negative migration trends,Dnipropetrovsk,18-35 years,,
2021,reducing negative migration trends,Dnipropetrovsk,18-35 years,,
2022,reducing negative migration trends,Dnipropetrovsk,18-35 years,,
2023,reducing negative migration trends,Dnipropetrovsk,18-35 years,,
2017,reducing negative migration trends,Dnipropetrovsk,36-60 years,,4.0
2018,reducing negative migration trends,Dnipropetrovsk,36-60 years,,4.6
2019,reducing negative migration trends,Dnipropetrovsk,36-60 years,,
2020,reducing negative migration trends,Dnipropetrovsk,36-60 years,,
2021,reducing negative migration trends,Dnipropetrovsk,36-59 years,,
2022,reducing negative migration trends,Dnipropetrovsk,36-59 years,,
2023,reducing negative migration trends,Dnipropetrovsk,36-59 years,,
2017,reducing negative migration trends,Dnipropetrovsk,61 years and older,,3.2
2018,reducing negative migration trends,Dnipropetrovsk,61 years and older,,3.5
2019,reducing negative migration trends,Dnipropetrovsk,61 years and older,,
2020,reducing negative migration trends,Dnipropetrovsk,61 years and older,,
2021,reducing negative migration trends,Dnipropetrovsk,60 years and older,,
2022,reducing negative migration trends,Dnipropetrovsk,60 years and older,,
2023,reducing negative migration trends,Dnipropetrovsk,60 years and older,,
2017,reducing negative migration trends,Dnipropetrovsk,,men,4.3
2018,reducing negative migration trends,Dnipropetrovsk,,men,4.8
2019,reducing negative migration trends,Dnipropetrovsk,,men,
2020,reducing negative migration trends,Dnipropetrovsk,,men,
2021,reducing negative migration trends,Dnipropetrovsk,,men,
2022,reducing negative migration trends,Dnipropetrovsk,,men,
2023,reducing negative migration trends,Dnipropetrovsk,,men,
2017,reducing negative migration trends,Dnipropetrovsk,,women,3.9
2018,reducing negative migration trends,Dnipropetrovsk,,women,4.6
2019,reducing negative migration trends,Dnipropetrovsk,,women,
2020,reducing negative migration trends,Dnipropetrovsk,,women,
2021,reducing negative migration trends,Dnipropetrovsk,,women,
2022,reducing negative migration trends,Dnipropetrovsk,,women,
2023,reducing negative migration trends,Dnipropetrovsk,,women,
2017,reducing negative migration trends,Zaporizhzhya,,,
2018,reducing negative migration trends,Zaporizhzhya,,,
2019,reducing negative migration trends,Zaporizhzhya,,,
2020,reducing negative migration trends,Zaporizhzhya,,,
2021,reducing negative migration trends,Zaporizhzhya,,,
2022,reducing negative migration trends,Zaporizhzhya,,,
2023,reducing negative migration trends,Zaporizhzhya,,,
2017,reducing negative migration trends,Zaporizhzhya,18-35 years,,5.4
2018,reducing negative migration trends,Zaporizhzhya,18-35 years,,5.4
2019,reducing negative migration trends,Zaporizhzhya,18-35 years,,
2020,reducing negative migration trends,Zaporizhzhya,18-35 years,,
2021,reducing negative migration trends,Zaporizhzhya,18-35 years,,
2022,reducing negative migration trends,Zaporizhzhya,18-35 years,,
2023,reducing negative migration trends,Zaporizhzhya,18-35 years,,
2017,reducing negative migration trends,Zaporizhzhya,36-60 years,,4.1
2018,reducing negative migration trends,Zaporizhzhya,36-60 years,,4.4
2019,reducing negative migration trends,Zaporizhzhya,36-60 years,,
2020,reducing negative migration trends,Zaporizhzhya,36-60 years,,
2021,reducing negative migration trends,Zaporizhzhya,36-59 years,,
2022,reducing negative migration trends,Zaporizhzhya,36-59 years,,
2023,reducing negative migration trends,Zaporizhzhya,36-59 years,,
2017,reducing negative migration trends,Zaporizhzhya,61 years and older,,3.0
2018,reducing negative migration trends,Zaporizhzhya,61 years and older,,3.4
2019,reducing negative migration trends,Zaporizhzhya,61 years and older,,
2020,reducing negative migration trends,Zaporizhzhya,61 years and older,,
2021,reducing negative migration trends,Zaporizhzhya,60 years and older,,
2022,reducing negative migration trends,Zaporizhzhya,60 years and older,,
2023,reducing negative migration trends,Zaporizhzhya,60 years and older,,
2017,reducing negative migration trends,Zaporizhzhya,,men,4.2
2018,reducing negative migration trends,Zaporizhzhya,,men,4.6
2019,reducing negative migration trends,Zaporizhzhya,,men,
2020,reducing negative migration trends,Zaporizhzhya,,men,
2021,reducing negative migration trends,Zaporizhzhya,,men,
2022,reducing negative migration trends,Zaporizhzhya,,men,
2023,reducing negative migration trends,Zaporizhzhya,,men,
2017,reducing negative migration trends,Zaporizhzhya,,women,4.2
2018,reducing negative migration trends,Zaporizhzhya,,women,4.4
2019,reducing negative migration trends,Zaporizhzhya,,women,
2020,reducing negative migration trends,Zaporizhzhya,,women,
2021,reducing negative migration trends,Zaporizhzhya,,women,
2022,reducing negative migration trends,Zaporizhzhya,,women,
2023,reducing negative migration trends,Zaporizhzhya,,women,
2017,reducing negative migration trends,Kharkiv,,,
2018,reducing negative migration trends,Kharkiv,,,
2019,reducing negative migration trends,Kharkiv,,,
2020,reducing negative migration trends,Kharkiv,,,
2021,reducing negative migration trends,Kharkiv,,,
2022,reducing negative migration trends,Kharkiv,,,
2023,reducing negative migration trends,Kharkiv,,,
2017,reducing negative migration trends,Kharkiv,18-35 years,,5.0
2018,reducing negative migration trends,Kharkiv,18-35 years,,5.7
2019,reducing negative migration trends,Kharkiv,18-35 years,,
2020,reducing negative migration trends,Kharkiv,18-35 years,,
2021,reducing negative migration trends,Kharkiv,18-35 years,,
2022,reducing negative migration trends,Kharkiv,18-35 years,,
2023,reducing negative migration trends,Kharkiv,18-35 years,,
2017,reducing negative migration trends,Kharkiv,36-60 years,,4.1
2018,reducing negative migration trends,Kharkiv,36-60 years,,4.7
2019,reducing negative migration trends,Kharkiv,36-60 years,,
2020,reducing negative migration trends,Kharkiv,36-60 years,,
2021,reducing negative migration trends,Kharkiv,36-59 years,,
2022,reducing negative migration trends,Kharkiv,36-59 years,,
2023,reducing negative migration trends,Kharkiv,36-59 years,,
2017,reducing negative migration trends,Kharkiv,61 years and older,,3.2
2018,reducing negative migration trends,Kharkiv,61 years and older,,4.2
2019,reducing negative migration trends,Kharkiv,61 years and older,,
2020,reducing negative migration trends,Kharkiv,61 years and older,,
2021,reducing negative migration trends,Kharkiv,60 years and older,,
2022,reducing negative migration trends,Kharkiv,60 years and older,,
2023,reducing negative migration trends,Kharkiv,60 years and older,,
2017,reducing negative migration trends,Kharkiv,,men,4.3
2018,reducing negative migration trends,Kharkiv,,men,5.1
2019,reducing negative migration trends,Kharkiv,,men,
2020,reducing negative migration trends,Kharkiv,,men,
2021,reducing negative migration trends,Kharkiv,,men,
2022,reducing negative migration trends,Kharkiv,,men,
2023,reducing negative migration trends,Kharkiv,,men,
2017,reducing negative migration trends,Kharkiv,,women,4.1
2018,reducing negative migration trends,Kharkiv,,women,4.7
2019,reducing negative migration trends,Kharkiv,,women,
2020,reducing negative migration trends,Kharkiv,,women,
2021,reducing negative migration trends,Kharkiv,,women,
2022,reducing negative migration trends,Kharkiv,,women,
2023,reducing negative migration trends,Kharkiv,,women,
2017,readiness for dialogue,Donetsk,,,
2018,readiness for dialogue,Donetsk,,,
2019,readiness for dialogue,Donetsk,,,
2020,readiness for dialogue,Donetsk,,,
2021,readiness for dialogue,Donetsk,,,
2022,readiness for dialogue,Donetsk,,,
2023,readiness for dialogue,Donetsk,,,
2017,readiness for dialogue,Donetsk,18-35 years,,
2018,readiness for dialogue,Donetsk,18-35 years,,6.6
2019,readiness for dialogue,Donetsk,18-35 years,,
2020,readiness for dialogue,Donetsk,18-35 years,,
2021,readiness for dialogue,Donetsk,18-35 years,,
2022,readiness for dialogue,Donetsk,18-35 years,,
2023,readiness for dialogue,Donetsk,18-35 years,,
2017,readiness for dialogue,Donetsk,36-60 years,,
2018,readiness for dialogue,Donetsk,36-60 years,,6.7
2019,readiness for dialogue,Donetsk,36-60 years,,
2020,readiness for dialogue,Donetsk,36-60 years,,
2021,readiness for dialogue,Donetsk,36-59 years,,
2022,readiness for dialogue,Donetsk,36-59 years,,
2023,readiness for dialogue,Donetsk,36-59 years,,
2017,readiness for dialogue,Donetsk,61 years and older,,
2018,readiness for dialogue,Donetsk,61 years and older,,6.8
2019,readiness for dialogue,Donetsk,61 years and older,,
2020,readiness for dialogue,Donetsk,61 years and older,,
2021,readiness for dialogue,Donetsk,60 years and older,,
2022,readiness for dialogue,Donetsk,60 years and older,,
2023,readiness for dialogue,Donetsk,60 years and older,,
2017,readiness for dialogue,Donetsk,,men,
2018,readiness for dialogue,Donetsk,,men,6.6
2019,readiness for dialogue,Donetsk,,men,
2020,readiness for dialogue,Donetsk,,men,
2021,readiness for dialogue,Donetsk,,men,
2022,readiness for dialogue,Donetsk,,men,
2023,readiness for dialogue,Donetsk,,men,
2017,readiness for dialogue,Donetsk,,women,
2018,readiness for dialogue,Donetsk,,women,6.8
2019,readiness for dialogue,Donetsk,,women,
2020,readiness for dialogue,Donetsk,,women,
2021,readiness for dialogue,Donetsk,,women,
2022,readiness for dialogue,Donetsk,,women,
2023,readiness for dialogue,Donetsk,,women,
2017,readiness for dialogue,Luhansk,,,
2018,readiness for dialogue,Luhansk,,,
2019,readiness for dialogue,Luhansk,,,
2020,readiness for dialogue,Luhansk,,,
2021,readiness for dialogue,Luhansk,,,
2022,readiness for dialogue,Luhansk,,,
2023,readiness for dialogue,Luhansk,,,
2017,readiness for dialogue,Luhansk,18-35 years,,
2018,readiness for dialogue,Luhansk,18-35 years,,6.0
2019,readiness for dialogue,Luhansk,18-35 years,,
2020,readiness for dialogue,Luhansk,18-35 years,,
2021,readiness for dialogue,Luhansk,18-35 years,,
2022,readiness for dialogue,Luhansk,18-35 years,,
2023,readiness for dialogue,Luhansk,18-35 years,,
2017,readiness for dialogue,Luhansk,36-60 years,,
2018,readiness for dialogue,Luhansk,36-60 years,,6.3
2019,readiness for dialogue,Luhansk,36-60 years,,
2020,readiness for dialogue,Luhansk,36-60 years,,
2021,readiness for dialogue,Luhansk,36-59 years,,
2022,readiness for dialogue,Luhansk,36-59 years,,
2023,readiness for dialogue,Luhansk,36-59 years,,
2017,readiness for dialogue,Luhansk,61 years and older,,
2018,readiness for dialogue,Luhansk,61 years and older,,6.0
2019,readiness for dialogue,Luhansk,61 years and older,,
2020,readiness for dialogue,Luhansk,61 years and older,,
2021,readiness for dialogue,Luhansk,60 years and older,,
2022,readiness for dialogue,Luhansk,60 years and older,,
2023,readiness for dialogue,Luhansk,60 years and older,,
2017,readiness for dialogue,Luhansk,,men,
2018,readiness for dialogue,Luhansk,,men,6.2
2019,readiness for dialogue,Luhansk,,men,
2020,readiness for dialogue,Luhansk,,men,
2021,readiness for dialogue,Luhansk,,men,
2022,readiness for dialogue,Luhansk,,men,
2023,readiness for dialogue,Luhansk,,men,
2017,readiness for dialogue,Luhansk,,women,
2018,readiness for dialogue,Luhansk,,women,6.1
2019,readiness for dialogue,Luhansk,,women,
2020,readiness for dialogue,Luhansk,,women,
2021,readiness for dialogue,Luhansk,,women,
2022,readiness for dialogue,Luhansk,,women,
2023,readiness for dialogue,Luhansk,,women,
2017,readiness for dialogue,Dnipropetrovsk,,,
2018,readiness for dialogue,Dnipropetrovsk,,,
2019,readiness for dialogue,Dnipropetrovsk,,,
2020,readiness for dialogue,Dnipropetrovsk,,,
2021,readiness for dialogue,Dnipropetrovsk,,,
2022,readiness for dialogue,Dnipropetrovsk,,,
2023,readiness for dialogue,Dnipropetrovsk,,,
2017,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2018,readiness for dialogue,Dnipropetrovsk,18-35 years,,5.9
2019,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2020,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2021,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2022,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2023,readiness for dialogue,Dnipropetrovsk,18-35 years,,
2017,readiness for dialogue,Dnipropetrovsk,36-60 years,,
2018,readiness for dialogue,Dnipropetrovsk,36-60 years,,5.9
2019,readiness for dialogue,Dnipropetrovsk,36-60 years,,
2020,readiness for dialogue,Dnipropetrovsk,36-60 years,,
2021,readiness for dialogue,Dnipropetrovsk,36-59 years,,
2022,readiness for dialogue,Dnipropetrovsk,36-59 years,,
2023,readiness for dialogue,Dnipropetrovsk,36-59 years,,
2017,readiness for dialogue,Dnipropetrovsk,61 years and older,,
2018,readiness for dialogue,Dnipropetrovsk,61 years and older,,5.6
2019,readiness for dialogue,Dnipropetrovsk,61 years and older,,
2020,readiness for dialogue,Dnipropetrovsk,61 years and older,,
2021,readiness for dialogue,Dnipropetrovsk,60 years and older,,
2022,readiness for dialogue,Dnipropetrovsk,60 years and older,,
2023,readiness for dialogue,Dnipropetrovsk,60 years and older,,
2017,readiness for dialogue,Dnipropetrovsk,,men,
2018,readiness for dialogue,Dnipropetrovsk,,men,6.0
2019,readiness for dialogue,Dnipropetrovsk,,men,
2020,readiness for dialogue,Dnipropetrovsk,,men,
2021,readiness for dialogue,Dnipropetrovsk,,men,
2022,readiness for dialogue,Dnipropetrovsk,,men,
2023,readiness for dialogue,Dnipropetrovsk,,men,
2017,readiness for dialogue,Dnipropetrovsk,,women,
2018,readiness for dialogue,Dnipropetrovsk,,women,5.7
2019,readiness for dialogue,Dnipropetrovsk,,women,
2020,readiness for dialogue,Dnipropetrovsk,,women,
2021,readiness for dialogue,Dnipropetrovsk,,women,
2022,readiness for dialogue,Dnipropetrovsk,,women,
2023,readiness for dialogue,Dnipropetrovsk,,women,
2017,readiness for dialogue,Zaporizhzhya,,,
2018,readiness for dialogue,Zaporizhzhya,,,
2019,readiness for dialogue,Zaporizhzhya,,,
2020,readiness for dialogue,Zaporizhzhya,,,
2021,readiness for dialogue,Zaporizhzhya,,,
2022,readiness for dialogue,Zaporizhzhya,,,
2023,readiness for dialogue,Zaporizhzhya,,,
2017,readiness for dialogue,Zaporizhzhya,18-35 years,,
2018,readiness for dialogue,Zaporizhzhya,18-35 years,,5.8
2019,readiness for dialogue,Zaporizhzhya,18-35 years,,
2020,readiness for dialogue,Zaporizhzhya,18-35 years,,
2021,readiness for dialogue,Zaporizhzhya,18-35 years,,
2022,readiness for dialogue,Zaporizhzhya,18-35 years,,
2023,readiness for dialogue,Zaporizhzhya,18-35 years,,
2017,readiness for dialogue,Zaporizhzhya,36-60 years,,
2018,readiness for dialogue,Zaporizhzhya,36-60 years,,6.5
2019,readiness for dialogue,Zaporizhzhya,36-60 years,,
2020,readiness for dialogue,Zaporizhzhya,36-60 years,,
2021,readiness for dialogue,Zaporizhzhya,36-59 years,,
2022,readiness for dialogue,Zaporizhzhya,36-59 years,,
2023,readiness for dialogue,Zaporizhzhya,36-59 years,,
2017,readiness for dialogue,Zaporizhzhya,61 years and older,,
2018,readiness for dialogue,Zaporizhzhya,61 years and older,,6.2
2019,readiness for dialogue,Zaporizhzhya,61 years and older,,
2020,readiness for dialogue,Zaporizhzhya,61 years and older,,
2021,readiness for dialogue,Zaporizhzhya,60 years and older,,
2022,readiness for dialogue,Zaporizhzhya,60 years and older,,
2023,readiness for dialogue,Zaporizhzhya,60 years and older,,
2017,readiness for dialogue,Zaporizhzhya,,men,
2018,readiness for dialogue,Zaporizhzhya,,men,6.2
2019,readiness for dialogue,Zaporizhzhya,,men,
2020,readiness for dialogue,Zaporizhzhya,,men,
2021,readiness for dialogue,Zaporizhzhya,,men,
2022,readiness for dialogue,Zaporizhzhya,,men,
2023,readiness for dialogue,Zaporizhzhya,,men,
2017,readiness for dialogue,Zaporizhzhya,,women,
2018,readiness for dialogue,Zaporizhzhya,,women,6.2
2019,readiness for dialogue,Zaporizhzhya,,women,
2020,readiness for dialogue,Zaporizhzhya,,women,
2021,readiness for dialogue,Zaporizhzhya,,women,
2022,readiness for dialogue,Zaporizhzhya,,women,
2023,readiness for dialogue,Zaporizhzhya,,women,
2017,readiness for dialogue,Kharkiv,,,
2018,readiness for dialogue,Kharkiv,,,
2019,readiness for dialogue,Kharkiv,,,
2020,readiness for dialogue,Kharkiv,,,
2021,readiness for dialogue,Kharkiv,,,
2022,readiness for dialogue,Kharkiv,,,
2023,readiness for dialogue,Kharkiv,,,
2017,readiness for dialogue,Kharkiv,18-35 years,,
2018,readiness for dialogue,Kharkiv,18-35 years,,6.2
2019,readiness for dialogue,Kharkiv,18-35 years,,
2020,readiness for dialogue,Kharkiv,18-35 years,,
2021,readiness for dialogue,Kharkiv,18-35 years,,
2022,readiness for dialogue,Kharkiv,18-35 years,,
2023,readiness for dialogue,Kharkiv,18-35 years,,
2017,readiness for dialogue,Kharkiv,36-60 years,,
2018,readiness for dialogue,Kharkiv,36-60 years,,6.3
2019,readiness for dialogue,Kharkiv,36-60 years,,
2020,readiness for dialogue,Kharkiv,36-60 years,,
2021,readiness for dialogue,Kharkiv,36-59 years,,
2022,readiness for dialogue,Kharkiv,36-59 years,,
2023,readiness for dialogue,Kharkiv,36-59 years,,
2017,readiness for dialogue,Kharkiv,61 years and older,,
2018,readiness for dialogue,Kharkiv,61 years and older,,6.6
2019,readiness for dialogue,Kharkiv,61 years and older,,
2020,readiness for dialogue,Kharkiv,61 years and older,,
2021,readiness for dialogue,Kharkiv,60 years and older,,
2022,readiness for dialogue,Kharkiv,60 years and older,,
2023,readiness for dialogue,Kharkiv,60 years and older,,
2017,readiness for dialogue,Kharkiv,,men,
2018,readiness for dialogue,Kharkiv,,men,6.8
2019,readiness for dialogue,Kharkiv,,men,
2020,readiness for dialogue,Kharkiv,,men,
2021,readiness for dialogue,Kharkiv,,men,
2022,readiness for dialogue,Kharkiv,,men,
2023,readiness for dialogue,Kharkiv,,men,
2017,readiness for dialogue,Kharkiv,,women,
2018,readiness for dialogue,Kharkiv,,women,6.1
2019,readiness for dialogue,Kharkiv,,women,
2020,readiness for dialogue,Kharkiv,,women,
2021,readiness for dialogue,Kharkiv,,women,
2022,readiness for dialogue,Kharkiv,,women,
2023,readiness for dialogue,Kharkiv,,women,
2017,civic behavior,Donetsk,,,
2018,civic behavior,Donetsk,,,
2019,civic behavior,Donetsk,,,
2020,civic behavior,Donetsk,,,
2021,civic behavior,Donetsk,,,
2022,civic behavior,Donetsk,,,
2023,civic behavior,Donetsk,,,
2017,civic behavior,Donetsk,18-35 years,,
2018,civic behavior,Donetsk,18-35 years,,4.7
2019,civic behavior,Donetsk,18-35 years,,6.6
2020,civic behavior,Donetsk,18-35 years,,
2021,civic behavior,Donetsk,18-35 years,,
2022,civic behavior,Donetsk,18-35 years,,
2023,civic behavior,Donetsk,18-35 years,,
2017,civic behavior,Donetsk,36-60 years,,
2018,civic behavior,Donetsk,36-60 years,,3.4
2019,civic behavior,Donetsk,36-60 years,,6.5
2020,civic behavior,Donetsk,36-60 years,,
2021,civic behavior,Donetsk,36-59 years,,
2022,civic behavior,Donetsk,36-59 years,,
2023,civic behavior,Donetsk,36-59 years,,
2017,civic behavior,Donetsk,61 years and older,,
2018,civic behavior,Donetsk,61 years and older,,2.2
2019,civic behavior,Donetsk,61 years and older,,6.3
2020,civic behavior,Donetsk,61 years and older,,
2021,civic behavior,Donetsk,60 years and older,,
2022,civic behavior,Donetsk,60 years and older,,
2023,civic behavior,Donetsk,60 years and older,,
2017,civic behavior,Donetsk,,men,
2018,civic behavior,Donetsk,,men,3.8
2019,civic behavior,Donetsk,,men,6.6
2020,civic behavior,Donetsk,,men,
2021,civic behavior,Donetsk,,men,
2022,civic behavior,Donetsk,,men,
2023,civic behavior,Donetsk,,men,
2017,civic behavior,Donetsk,,women,
2018,civic behavior,Donetsk,,women,3.2
2019,civic behavior,Donetsk,,women,6.4
2020,civic behavior,Donetsk,,women,
2021,civic behavior,Donetsk,,women,
2022,civic behavior,Donetsk,,women,
2023,civic behavior,Donetsk,,women,
2017,civic behavior,Luhansk,,,
2018,civic behavior,Luhansk,,,
2019,civic behavior,Luhansk,,,
2020,civic behavior,Luhansk,,,
2021,civic behavior,Luhansk,,,
2022,civic behavior,Luhansk,,,
2023,civic behavior,Luhansk,,,
2017,civic behavior,Luhansk,18-35 years,,
2018,civic behavior,Luhansk,18-35 years,,4.4
2019,civic behavior,Luhansk,18-35 years,,7.0
2020,civic behavior,Luhansk,18-35 years,,
2021,civic behavior,Luhansk,18-35 years,,
2022,civic behavior,Luhansk,18-35 years,,
2023,civic behavior,Luhansk,18-35 years,,
2017,civic behavior,Luhansk,36-60 years,,
2018,civic behavior,Luhansk,36-60 years,,4.3
2019,civic behavior,Luhansk,36-60 years,,6.2
2020,civic behavior,Luhansk,36-60 years,,
2021,civic behavior,Luhansk,36-59 years,,
2022,civic behavior,Luhansk,36-59 years,,
2023,civic behavior,Luhansk,36-59 years,,
2017,civic behavior,Luhansk,61 years and older,,
2018,civic behavior,Luhansk,61 years and older,,2.3
2019,civic behavior,Luhansk,61 years and older,,5.8
2020,civic behavior,Luhansk,61 years and older,,
2021,civic behavior,Luhansk,60 years and older,,
2022,civic behavior,Luhansk,60 years and older,,
2023,civic behavior,Luhansk,60 years and older,,
2017,civic behavior,Luhansk,,men,
2018,civic behavior,Luhansk,,men,4.2
2019,civic behavior,Luhansk,,men,6.2
2020,civic behavior,Luhansk,,men,
2021,civic behavior,Luhansk,,men,
2022,civic behavior,Luhansk,,men,
2023,civic behavior,Luhansk,,men,
2017,civic behavior,Luhansk,,women,
2018,civic behavior,Luhansk,,women,3.5
2019,civic behavior,Luhansk,,women,6.4
2020,civic behavior,Luhansk,,women,
2021,civic behavior,Luhansk,,women,
2022,civic behavior,Luhansk,,women,
2023,civic behavior,Luhansk,,women,
2017,civic behavior,Dnipropetrovsk,,,
2018,civic behavior,Dnipropetrovsk,,,
2019,civic behavior,Dnipropetrovsk,,,
2020,civic behavior,Dnipropetrovsk,,,
2021,civic behavior,Dnipropetrovsk,,,
2022,civic behavior,Dnipropetrovsk,,,
2023,civic behavior,Dnipropetrovsk,,,
2017,civic behavior,Dnipropetrovsk,18-35 years,,
2018,civic behavior,Dnipropetrovsk,18-35 years,,5.0
2019,civic behavior,Dnipropetrovsk,18-35 years,,
2020,civic behavior,Dnipropetrovsk,18-35 years,,
2021,civic behavior,Dnipropetrovsk,18-35 years,,
2022,civic behavior,Dnipropetrovsk,18-35 years,,
2023,civic behavior,Dnipropetrovsk,18-35 years,,
2017,civic behavior,Dnipropetrovsk,36-60 years,,
2018,civic behavior,Dnipropetrovsk,36-60 years,,4.7
2019,civic behavior,Dnipropetrovsk,36-60 years,,
2020,civic behavior,Dnipropetrovsk,36-60 years,,
2021,civic behavior,Dnipropetrovsk,36-59 years,,
2022,civic behavior,Dnipropetrovsk,36-59 years,,
2023,civic behavior,Dnipropetrovsk,36-59 years,,
2017,civic behavior,Dnipropetrovsk,61 years and older,,
2018,civic behavior,Dnipropetrovsk,61 years and older,,4.2
2019,civic behavior,Dnipropetrovsk,61 years and older,,
2020,civic behavior,Dnipropetrovsk,61 years and older,,
2021,civic behavior,Dnipropetrovsk,60 years and older,,
2022,civic behavior,Dnipropetrovsk,60 years and older,,
2023,civic behavior,Dnipropetrovsk,60 years and older,,
2017,civic behavior,Dnipropetrovsk,,men,
2018,civic behavior,Dnipropetrovsk,,men,5.3
2019,civic behavior,Dnipropetrovsk,,men,
2020,civic behavior,Dnipropetrovsk,,men,
2021,civic behavior,Dnipropetrovsk,,men,
2022,civic behavior,Dnipropetrovsk,,men,
2023,civic behavior,Dnipropetrovsk,,men,
2017,civic behavior,Dnipropetrovsk,,women,
2018,civic behavior,Dnipropetrovsk,,women,4.1
2019,civic behavior,Dnipropetrovsk,,women,
2020,civic behavior,Dnipropetrovsk,,women,
2021,civic behavior,Dnipropetrovsk,,women,
2022,civic behavior,Dnipropetrovsk,,women,
2023,civic behavior,Dnipropetrovsk,,women,
2017,civic behavior,Zaporizhzhya,,,
2018,civic behavior,Zaporizhzhya,,,
2019,civic behavior,Zaporizhzhya,,,
2020,civic behavior,Zaporizhzhya,,,
2021,civic behavior,Zaporizhzhya,,,
2022,civic behavior,Zaporizhzhya,,,
2023,civic behavior,Zaporizhzhya,,,
2017,civic behavior,Zaporizhzhya,18-35 years,,
2018,civic behavior,Zaporizhzhya,18-35 years,,4.8
2019,civic behavior,Zaporizhzhya,18-35 years,,
2020,civic behavior,Zaporizhzhya,18-35 years,,
2021,civic behavior,Zaporizhzhya,18-35 years,,
2022,civic behavior,Zaporizhzhya,18-35 years,,
2023,civic behavior,Zaporizhzhya,18-35 years,,
2017,civic behavior,Zaporizhzhya,36-60 years,,
2018,civic behavior,Zaporizhzhya,36-60 years,,4.6
2019,civic behavior,Zaporizhzhya,36-60 years,,
2020,civic behavior,Zaporizhzhya,36-60 years,,
2021,civic behavior,Zaporizhzhya,36-59 years,,
2022,civic behavior,Zaporizhzhya,36-59 years,,
2023,civic behavior,Zaporizhzhya,36-59 years,,
2017,civic behavior,Zaporizhzhya,61 years and older,,
2018,civic behavior,Zaporizhzhya,61 years and older,,3.4
2019,civic behavior,Zaporizhzhya,61 years and older,,
2020,civic behavior,Zaporizhzhya,61 years and older,,
2021,civic behavior,Zaporizhzhya,60 years and older,,
2022,civic behavior,Zaporizhzhya,60 years and older,,
2023,civic behavior,Zaporizhzhya,60 years and older,,
2017,civic behavior,Zaporizhzhya,,men,
2018,civic behavior,Zaporizhzhya,,men,4.5
2019,civic behavior,Zaporizhzhya,,men,
2020,civic behavior,Zaporizhzhya,,men,
2021,civic behavior,Zaporizhzhya,,men,
2022,civic behavior,Zaporizhzhya,,men,
2023,civic behavior,Zaporizhzhya,,men,
2017,civic behavior,Zaporizhzhya,,women,
2018,civic behavior,Zaporizhzhya,,women,4.2
2019,civic behavior,Zaporizhzhya,,women,
2020,civic behavior,Zaporizhzhya,,women,
2021,civic behavior,Zaporizhzhya,,women,
2022,civic behavior,Zaporizhzhya,,women,
2023,civic behavior,Zaporizhzhya,,women,
2017,civic behavior,Kharkiv,,,
2018,civic behavior,Kharkiv,,,
2019,civic behavior,Kharkiv,,,
2020,civic behavior,Kharkiv,,,
2021,civic behavior,Kharkiv,,,
2022,civic behavior,Kharkiv,,,
2023,civic behavior,Kharkiv,,,
2017,civic behavior,Kharkiv,18-35 years,,
2018,civic behavior,Kharkiv,18-35 years,,4.4
2019,civic behavior,Kharkiv,18-35 years,,
2020,civic behavior,Kharkiv,18-35 years,,
2021,civic behavior,Kharkiv,18-35 years,,
2022,civic behavior,Kharkiv,18-35 years,,
2023,civic behavior,Kharkiv,18-35 years,,
2017,civic behavior,Kharkiv,36-60 years,,
2018,civic behavior,Kharkiv,36-60 years,,4.1
2019,civic behavior,Kharkiv,36-60 years,,
2020,civic behavior,Kharkiv,36-60 years,,
2021,civic behavior,Kharkiv,36-59 years,,
2022,civic behavior,Kharkiv,36-59 years,,
2023,civic behavior,Kharkiv,36-59 years,,
2017,civic behavior,Kharkiv,61 years and older,,
2018,civic behavior,Kharkiv,61 years and older,,2.1
2019,civic behavior,Kharkiv,61 years and older,,
2020,civic behavior,Kharkiv,61 years and older,,
2021,civic behavior,Kharkiv,60 years and older,,
2022,civic behavior,Kharkiv,60 years and older,,
2023,civic behavior,Kharkiv,60 years and older,,
2017,civic behavior,Kharkiv,,men,
2018,civic behavior,Kharkiv,,men,3.9
2019,civic behavior,Kharkiv,,men,
2020,civic behavior,Kharkiv,,men,
2021,civic behavior,Kharkiv,,men,
2022,civic behavior,Kharkiv,,men,
2023,civic behavior,Kharkiv,,men,
2017,civic behavior,Kharkiv,,women,
